archivo,ruta_completa,estacion_clave,estacion_nombre,localizacion,estacion_lat,estacion_lon,estacion_altitud_msnm,tipo_suelo,institucion,sensor_modelo,sensor_serie,num_canales,orientaciones,fs_hz,dt_s,sismo_fecha,sismo_hora,sismo_mag,sismo_lat,sismo_lon,sismo_prof_km,sismo_fuente,registro_hora_inicio,duraciones_s,num_muestras_reportadas,pga_reportado_gal,unidades,origen_seisan,distancia_epicentral_km,azimut_deg,pga_z_gal,pga_n_gal,pga_e_gal,pga_max_gal,calidad_status,calidad_observaciones
APVM2402.148,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024_02_14_1246_07_M1.7_CDMX\ACEL\ASA\APVM2402.148,APVM,AZCAPOTZALCO,,19.488017,-99.20865,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,Episensor,,3,HLZ/HLN/HLE,100.0,0.01,2024/02/14,12:46:07,/M=1.7,19.37,-99.2,1.0,,12:46: 6.000,[],[],[],Gal,2024-02-14-1246-06S.MAN___264,13.154,356.05,0.6227,0.9198,0.7206,0.9198,OK,
BJVM2402.148,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024_02_14_1246_07_M1.7_CDMX\ACEL\ASA\BJVM2402.148,BJVM,BENITO JUAREZ,,19.375,-99.17065,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,Episensor,,3,HLZ/HLN/HLE,100.0,0.01,2024/02/14,12:46:07,/M=1.7,19.37,-99.2,1.0,,12:46: 6.000,[],[],[],Gal,2024-02-14-1246-06S.MAN___264,3.129,79.76,0.8235,0.5296,1.3279,1.3279,OK,
CJVM2402.148,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024_02_14_1246_07_M1.7_CDMX\ACEL\ASA\CJVM2402.148,CJVM,CUAJIMALPA,,19.36165,-99.285133,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,Episensor,,3,HLZ/HLN/HLE,100.0,0.01,2024/02/14,12:46:07,/M=1.7,19.37,-99.2,1.0,,12:46: 6.000,[],[],[],Gal,2024-02-14-1246-06S.MAN___264,8.979,264.08,0.063,0.1282,0.1006,0.1282,OK,
CM552402.148,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024_02_14_1246_07_M1.7_CDMX\ACEL\ASA\CM552402.148,CM55,ESCUELA SECUNDARIA TECNICA 55,"CALLE SUR 28 S/N, COL. IZTACALCO, ALCALD",19.385019,-99.064004,2238.0,ARCILLAS,INSTITUTO DE INGENIERIA UNAM,ETNA 2,101281,3,HNZ/HNN/HNE,100.0,0.01,2024/02/14,12:46:07,/M=1.7,19.37,-99.2,1.0,,12:46: 6.000,[],[],[],Gal,2024-02-14-1246-06S.MAN___264,14.363,83.3,0.15,0.069,0.0787,0.15,OK,
CMBM2402.148,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024_02_14_1246_07_M1.7_CDMX\ACEL\ASA\CMBM2402.148,CMBM,BARTOLOME DE MEDINA,"ESCUELA PRIMARIA BARTOLOME DE MEDINA, SO",19.401245,-99.199547,2322.0,?,INSTITUTO DE INGENIERIA UNAM,ETNA 2,101285,3,HNZ/HNW/HNN,100.0,0.01,2024/02/14,12:46:07,/M=1.7,19.37,-99.2,1.0,,12:46: 6.000,[],[],[],Gal,2024-02-14-1246-06S.MAN___264,3.475,0.78,0.2623,0.5472,0.4358,0.5472,OK,
CMCL2402.148,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024_02_14_1246_07_M1.7_CDMX\ACEL\ASA\CMCL2402.148,CMCL,HOSPITAL CLINICA LONDRES,"CALLE DURANGO, DENTRO DE LAS INSTALACION",19.421417,-99.156975,2245.0,ZONA DE LAGO,INSTITUTO DE INGENIERIA UNAM,ETNA 2,102505,3,HNZ/HNN/HNE,100.0,0.01,2024/02/14,12:46:07,/M=1.7,19.37,-99.2,1.0,,12:46: 6.000,[],[],[],Gal,2024-02-14-1246-06S.MAN___264,7.284,38.28,0.2478,0.1057,0.0885,0.2478,OK,
CMCT2402.148,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024_02_14_1246_07_M1.7_CDMX\ACEL\ASA\CMCT2402.148,CMCT,CENTRO CULTURAL UNIVERSITARIO TLATELOLCO CAMPO LIBRE SITIO 2,SOTANO DE LA TORRE LADO SUROESTE. AV. RI,19.450048,-99.137962,2240.0,?,INSTITUTO DE INGENIERIA UNAM,ETNA 2,103731,3,HNZ/HNN/HNE,100.0,0.01,2024/02/14,12:46:07,/M=1.7,19.37,-99.2,1.0,,12:46: 6.000,[],[],[],Gal,2024-02-14-1246-06S.MAN___264,11.025,36.16,0.8494,0.186,0.1475,0.8494,OK,
CMCU2402.148,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024_02_14_1246_07_M1.7_CDMX\ACEL\ASA\CMCU2402.148,CMCU,CIUDAD UNIVERSITARIA PATIO IIUNAM,CASETA DEL PATIO DEL INSTITUTO DE INGENI,19.330278,-99.181023,2285.0,?,INSTITUTO DE INGENIERIA UNAM,ETNA 2,103458,3,HNZ/HNN/HNE,100.0,0.01,2024/02/14,12:46:07,/M=1.7,19.37,-99.2,1.0,,12:46: 6.000,[],[],[],Gal,2024-02-14-1246-06S.MAN___264,4.845,155.73,0.2832,0.2113,0.2589,0.2832,OK,
CMEA2402.148,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024_02_14_1246_07_M1.7_CDMX\ACEL\ASA\CMEA2402.148,CMEA,ESCUELA SECUNDARIA ENRIQUE O ARAGON,"CERRADA COMONFORT S/N, COL. SAN LUCAS, A",19.359965,-99.09599,2239.0,ARCILLAS,INSTITUTO DE INGENIERIA UNAM,OBSIDIAN,866,3,HNZ/HNN/HNE,100.0,0.01,2024/02/14,12:46:07,/M=1.7,19.37,-99.2,1.0,,12:46: 6.000,[],[],[],Gal,2024-02-14-1246-06S.MAN___264,10.968,95.82,0.4242,0.2598,0.1322,0.4242,OK,
CMEN2402.148,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024_02_14_1246_07_M1.7_CDMX\ACEL\ASA\CMEN2402.148,CMEN,JARDIN DE NIÑOS CENTENARIO DE LA HEROICA ESC. NAVAL MILITAR,"COL. BALDIO CANAL NACIONAL, ALCALDIA TLA",19.295514,-99.102591,2235.0,ARCILLAS,INSTITUTO DE INGENIERIA UNAM,ETNA 2,101616,3,HNZ/HNN/HNE,100.0,0.01,2024/02/14,12:46:07,/M=1.7,19.37,-99.2,1.0,,12:46: 6.000,[],[],[],Gal,2024-02-14-1246-06S.MAN___264,13.155,129.0,1.0442,0.5664,0.6387,1.0442,OK,
