archivo,ruta_completa,estacion_clave,estacion_nombre,localizacion,estacion_lat,estacion_lon,estacion_altitud_msnm,tipo_suelo,institucion,sensor_modelo,sensor_serie,num_canales,orientaciones,fs_hz,dt_s,sismo_fecha,sismo_hora,sismo_mag,sismo_lat,sismo_lon,sismo_prof_km,sismo_fuente,registro_hora_inicio,duraciones_s,num_muestras_reportadas,pga_reportado_gal,unidades,origen_seisan,distancia_epicentral_km,azimut_deg,pga_z_gal,pga_n_gal,pga_e_gal,pga_max_gal,calidad_status,calidad_observaciones
APVM2402.147,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024_02_14_1244_53_M1.8_CDMX\ACEL\ASA\APVM2402.147,APVM,AZCAPOTZALCO,,19.488017,-99.20865,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,Episensor,,3,HLZ/HLN/HLE,100.0,0.01,2024/02/14,12:44:53,/M=1.8,19.37,-99.2,1.0,,12:44:52.000,[],[],[],Gal,2024-02-14-1244-52S.MAN___264,13.154,356.05,0.5786,0.6446,0.7188,0.7188,OK,
BJVM2402.147,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024_02_14_1244_53_M1.8_CDMX\ACEL\ASA\BJVM2402.147,BJVM,BENITO JUAREZ,,19.375,-99.17065,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,Episensor,,3,HLZ/HLN/HLE,100.0,0.01,2024/02/14,12:44:53,/M=1.8,19.37,-99.2,1.0,,12:44:52.000,[],[],[],Gal,2024-02-14-1244-52S.MAN___264,3.129,79.76,0.5779,0.5213,0.619,0.619,OK,
CJVM2402.147,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024_02_14_1244_53_M1.8_CDMX\ACEL\ASA\CJVM2402.147,CJVM,CUAJIMALPA,,19.36165,-99.285133,,,SERVICIO SISMOLOGICO NACIONAL del INSTITUTO DE GEOFISICA UNAM,Episensor,,3,HLZ/HLN/HLE,100.0,0.01,2024/02/14,12:44:53,/M=1.8,19.37,-99.2,1.0,,12:44:52.000,[],[],[],Gal,2024-02-14-1244-52S.MAN___264,8.979,264.08,0.0692,0.0828,0.1002,0.1002,OK,
CM552402.147,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024_02_14_1244_53_M1.8_CDMX\ACEL\ASA\CM552402.147,CM55,ESCUELA SECUNDARIA TECNICA 55,"CALLE SUR 28 S/N, COL. IZTACALCO, ALCALD",19.385019,-99.064004,2238.0,ARCILLAS,INSTITUTO DE INGENIERIA UNAM,ETNA 2,101281,3,HNZ/HNN/HNE,100.0,0.01,2024/02/14,12:44:53,/M=1.8,19.37,-99.2,1.0,,12:44:52.000,[],[],[],Gal,2024-02-14-1244-52S.MAN___264,14.363,83.3,0.179,0.2187,0.0692,0.2187,OK,
CMBM2402.147,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024_02_14_1244_53_M1.8_CDMX\ACEL\ASA\CMBM2402.147,CMBM,BARTOLOME DE MEDINA,"ESCUELA PRIMARIA BARTOLOME DE MEDINA, SO",19.401245,-99.199547,2322.0,?,INSTITUTO DE INGENIERIA UNAM,ETNA 2,101285,3,HNZ/HNW/HNN,100.0,0.01,2024/02/14,12:44:53,/M=1.8,19.37,-99.2,1.0,,12:44:52.000,[],[],[],Gal,2024-02-14-1244-52S.MAN___264,3.475,0.78,0.2359,0.2766,0.3851,0.3851,OK,
CMCL2402.147,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024_02_14_1244_53_M1.8_CDMX\ACEL\ASA\CMCL2402.147,CMCL,HOSPITAL CLINICA LONDRES,"CALLE DURANGO, DENTRO DE LAS INSTALACION",19.421417,-99.156975,2245.0,ZONA DE LAGO,INSTITUTO DE INGENIERIA UNAM,ETNA 2,102505,3,HNZ/HNN/HNE,100.0,0.01,2024/02/14,12:44:53,/M=1.8,19.37,-99.2,1.0,,12:44:52.000,[],[],[],Gal,2024-02-14-1244-52S.MAN___264,7.284,38.28,0.1837,0.0935,0.0722,0.1837,OK,
CMCT2402.147,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024_02_14_1244_53_M1.8_CDMX\ACEL\ASA\CMCT2402.147,CMCT,CENTRO CULTURAL UNIVERSITARIO TLATELOLCO CAMPO LIBRE SITIO 2,SOTANO DE LA TORRE LADO SUROESTE. AV. RI,19.450048,-99.137962,2240.0,?,INSTITUTO DE INGENIERIA UNAM,ETNA 2,103731,3,HNZ/HNN/HNE,100.0,0.01,2024/02/14,12:44:53,/M=1.8,19.37,-99.2,1.0,,12:44:52.000,[],[],[],Gal,2024-02-14-1244-52S.MAN___264,11.025,36.16,0.8863,0.2015,0.1253,0.8863,OK,
CMCU2402.147,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024_02_14_1244_53_M1.8_CDMX\ACEL\ASA\CMCU2402.147,CMCU,CIUDAD UNIVERSITARIA PATIO IIUNAM,CASETA DEL PATIO DEL INSTITUTO DE INGENI,19.330278,-99.181023,2285.0,?,INSTITUTO DE INGENIERIA UNAM,ETNA 2,103458,3,HNZ/HNN/HNE,100.0,0.01,2024/02/14,12:44:53,/M=1.8,19.37,-99.2,1.0,,12:44:52.000,[],[],[],Gal,2024-02-14-1244-52S.MAN___264,4.845,155.73,0.1467,0.1546,0.1656,0.1656,OK,
CMEA2402.147,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024_02_14_1244_53_M1.8_CDMX\ACEL\ASA\CMEA2402.147,CMEA,ESCUELA SECUNDARIA ENRIQUE O ARAGON,"CERRADA COMONFORT S/N, COL. SAN LUCAS, A",19.359965,-99.09599,2239.0,ARCILLAS,INSTITUTO DE INGENIERIA UNAM,OBSIDIAN,866,3,HNZ/HNN/HNE,100.0,0.01,2024/02/14,12:44:53,/M=1.8,19.37,-99.2,1.0,,12:44:52.000,[],[],[],Gal,2024-02-14-1244-52S.MAN___264,10.968,95.82,0.5643,0.3141,0.2967,0.5643,OK,
CMEN2402.147,C:\Users\MCarrilloL\Documents\Doctorado\FallaFinita_Registros\base_datos\2024_02_14_1244_53_M1.8_CDMX\ACEL\ASA\CMEN2402.147,CMEN,JARDIN DE NIÑOS CENTENARIO DE LA HEROICA ESC. NAVAL MILITAR,"COL. BALDIO CANAL NACIONAL, ALCALDIA TLA",19.295514,-99.102591,2235.0,ARCILLAS,INSTITUTO DE INGENIERIA UNAM,ETNA 2,101616,3,HNZ/HNN/HNE,100.0,0.01,2024/02/14,12:44:53,/M=1.8,19.37,-99.2,1.0,,12:44:52.000,[],[],[],Gal,2024-02-14-1244-52S.MAN___264,13.155,129.0,0.8601,0.7012,0.8348,0.8601,OK,
